['2015-08-29T04:33:00', 'æøå', '@umulbanat1 Jazakallahu ukh;;;;;\r']
['2015-08-29T04:34:00', 'æøå', '@AlJabarti22 Jazakallahu akh;;;;;\r']
['2015-08-29T04:34:00', 'æøå', '@UmmAysha20___ Jazakallahu ukhti @Abtigood @AsadAlKanadi10;;;;;\r']
['2015-08-29T04:35:00', 'æøå', '@BintRose33 Jazakallahu ukhti @AbuHaleema28 @skxxx50 @Abtigood @_Muslimah1___ @JasonPhedo @AlJabali23 @AbdullahKayaNIW @CheckContentt;;;;;\r']
['2015-08-29T20:16:00', 'æøå', '@Skxx51 Actually he has been changed drastically after IS took a revenged and encircled them in DEZ @striv3ric @War_Reports (1);;;;;\r']
['2015-08-29T20:17:00', 'æøå', "@Skxx51 he can't accept the mubahala between Sh Adnani &amp; Abu Abdullah Shami where the truth is on IS @striv3ric @War_Reports (2);;;;\r"]
['2015-08-29T20:20:00', 'æøå', '@Skxx51 If all of you remember his tweets from his first acc he used to support IS and made a clarification the @striv3ric @War_Reports(3);;;;;\r']
['2015-08-29T20:22:00', 'æøå', "@Skxx51 truth behind Jan13 where he's asserted that FSA the one who start the infighting and killing muhajireen @striv3ric @War_Reports(4);;;;;\r"]
['2015-08-29T20:33:00', 'æøå', "@Skxx51 those who doesn't know him will says that his tweets are true and he's on haqq.. @striv3ric;;;;;\r"]
['2015-08-29T20:42:00', 'æøå', '""History repeated itself. JN almost vanished when #IS came to #Syria and massive bayah from #Aleppo &amp"; #Raqqa;;;;\r']
['2015-08-30T10:23:00', 'æøå', "report JN tells their fighters they won't participate in mari battle against Islamic state under any circumstance https://t.co/pe6...;;;;;\r"]
['2015-08-30T11:47:00', 'æøå', 'The sahawat declare these villages military zones but love to talk about civilian deaths and provide no videos http://t.co/XrsJ0lCYDH/s/Q6jN;;;;;\r']
['2015-08-30T13:03:00', 'æøå', '""Didnt i tell you that JN only make takfir on those who spill their holy blood? SRF']
['2015-08-30T13:04:00', 'æøå', '@abuyaqub6: RT @Alwalawalbara12: May Allah punish every shiite ! https://t.co/y1WWfRJdTp/s/AqAU;;;;;\r']
['2015-08-30T13:10:00', 'æøå', '""*NEW*";;;;;\r']
